Question,Answer
"Three of these animals hibernate. Which one does not?
",Sloth
"All of these animals are omnivorous except one.
",Snail
"Three of these Latin names are names of bears. Which is the odd one?
",Felis silvestris catus
"These are typical Australian animals except one.
",Sloth
"Representatives of three of these species produce venom of their own. Which is the odd species?
",Mosquitos
"Three of these species shed their skin. Which one does not?
",Penguins
"All dogs, cats and birds are colorblind.
",False
"All of these animals have large ears (relative to their size) except one.
",Polar bears
"This percentage of all snakes on Earth are lethal to humans.
",15%
"Snakes are this kind of animals.
",Carnivorous
"Snakes consume their food by means of this process.
",Swallowing
"Snakes reproduce only by laying eggs.
",False
"Snakes are deaf.
",True
"Snake skin is covered in scales.
",True
"Snakes belong to the following category.
",Reptiles
"A specialist in snakes is called one of these.
",Ophiologist
"One of the following snakes does not belong to the Viperidae family.
",Grass snake
"Snakes are very likely to attack us, regardless of whether they feel threatened or not.
",False
"Cobras are venomous snakes of family Elapidae, that generally inhabit regions of these two continents.
",Asia and Africa
"The cobras most recognizable feature is its hood, a flap of skin and muscle behind the head, believed to serve this purpose.
",More threatening appearance
"The Cobra is at the top of the food chain, with only two main predators -- one is man and the other is this animal.
",Mongoose
"This is where the Cobras ribs are situated.
",Behind its head
"The King Cobra feeds almost exclusively on other snakes, even toxic ones.
",True
"A baby cobra is fully able to defend itself in as little as this many hours after being born.
",3
"What type of dog did Richard Nixon receive from a Texan while he was a candidate for Vice President?
",Cocker Spaniel
"What was the name of Socks companion at the White House during the Clinton Administration?
",Buddy
"President Fords dog was named Freedom.
",False
"Which of these Presidents had the most pets?
",Theodore Roosevelt
"What breed is known as the favourite breed of Queen Elizabeth II?
",Welsh Corgi
"What was the name of Fraisers fathers dog on the hit TV show set in Seattle?
",Eddie
"Which one of these sea mammals is not in the endangered species lists?
",Pilot whale
"This endangered turtle is the biggest of all living turtles, reaching a length of over 2.7 m (8.8 ft) and weight of 900 kg (2,000 lb).
",Leatherback Sea Turtle
"Name the rarest and most endangered of all wolves.
",Red Wolf
"The endangered Komodo dragon is the largest living lizard in the world, growing to an average length of 2-3 meters (10 feet).
",True
"This species of great apes with long arms and reddish hair suffer habitat destruction due to logging, mining and forest fires.
",Orangutan
"What is the natural habitat of the snows leopard, that was hunted down for its beautiful fur, as a result of which its population went down to 1,000 animals in the 1960s?
",Central Asia
"The Asian Elephant, the only living species of the genus Elephas, is the bigger relative of the African Elephant.
",False
"This freshwater mammal, found only in the Yangtze River, is the most endangered (even possibly extinct) cetacean and one of the most endangered species in the world.
",Chinese River Dolphin
"This small nocturnal animal, whose natural habitat are the deserts of Northern Africa, is known to jump not only for hunting or protection, but also for pleasure.
",Fennec
"Jack jumper ants, yellowish-orange carnivorous ants named after their characteristic jumpy motions, can be found only on which continent?
",Australia
"This small, graceful member of the antelope family is an extraordinary jumper - while leaping, it touches the rocky terrain of its South African habitats only with the tip of its hooves, resembling a dance.
",Klipspringer
"Although the jumping viper, a chiefly nocturnal snake, is one of the most powerful jumpers of the snake family, capable of rising up to 1 meter (3 feet) during a strike, its poison is not lethal to humans.
",False
"Zoophobia is the fear of animals.
",True
"The hummingbird is the worlds smallest bird.
",True
"Which of these animals swims the fastest?
",Dolphin
"Which word refers to the sound peacocks make?
",Scream
"Ancient Japanese thought this animal caused earthquakes.
",Spiders
"How many types of bats are there?
",900
"Chocolate cannot kill a dog.
",False
"This animal can clean its own ears with its 21-inch tongue.
",Giraffe
"It has been estimated that in Australia, there are about twice as many kangaroos as there are people.
",True
"What is the fastest animal on 6 legs?
",Cockroach
"Sheep are similar to cows in that they have a stomach which contains four chambers.
",True
"What is a female sheep called or known as?
",ewe
"What is the white tigers scientific name?
",Panthera tigris
"Can tigers live to be 20 years old?
",Yes
"All tigers have stripes.
",False
"Which of the following is not a type of chipmunk?
",Bushy-tailed
"Which of these is not an actual breed of horse?
",Sioux
"Which of the following is not a breed of dog?
",Ferret terrier
"One of these is not a true breed of cat. Which one?
",French Twist
"Which of these is not a type of beetle?
",Burrowing beetle
"Which of the following is not a type of spider?
",Glass spider
"All but one of the following are true types of bears. Which is the odd one?
",Moon bear
"Which of these is not an actual breed of sheep?
",Dakota
"One of these is not a true breed of chicken. Which one?
",Red-tailed
"Which of the following is not a breed of pig?
",Ridgeback
"What is a group of lions called?
",Pride
"There are more males then females in a pride.
",False
"Generally, how many times in an interval of 5 hours do lions mate?
",10
"What is the breed of animal created from the crossing of a male lion and a female tiger?
",Liger
"What is the breed of animal created from the crossing of a female lion and a male tiger?
",Tigon
"What do male lions have which females do not possess?
",A mane
"What is the average lifespan of a lion living in the wild?
",10 -15 years
"Are male lions are generally stronger then female lions?
",Yes
"Female lions hunt in a group.
",True
"Cats twitch the tips of their tails slightly when hunting or when angry, while stronger twitching indicates what?
",Displeasure
"If a cat pushes its face against your head, this means what?
",Acceptance
"Cats generally purr when they are happy, but they can also be heard purring in what other situation?
",When they are distressed or in pain
"How many different vocalization sounds does a cat make?
",100
"All cats are born with green eyes.
",False
"A cats front paws have 5 toes and their back paws have 4.
",True
"What was the largest  eagle ever found on Earth?
",Haasts Eagle
"Which term refers to the group formed by frogs and amphibians?
",Herps
"Which statement about elephants is untrue?
",Elephants do not have great memories
"All pigs are classified as un-Kosher meaning they can not be eaten by Jewish people.
",False
"What is alektorophobia?
",The unreasonable fear of chickens
"How do scientists calculate the age of a fish?
",They count the growth rings on the ear bone.
"Pound for pound, humans are not the strongest animals. What is considered the strongest species, pound for pound?
",The Hercules beetle
"Human beings have 23 pairs of  chromosomes. Which animal has the most chromosomes?
",hermit crabs
"What type of animal is a lamprey?
",fish
"What is the name of the first book by Darwin that directly dealt with evolution?
",On the Origins of the Species
"Which of these animals has the largest paws?
",An average lynx
"Sharks can only be found in salt water.
",False
"The smallest species of shark in the world is the Dwarf Lanternfish.
",True
"Sharks must eat continually in order to survive.
",False
"Sharks can have up to nine gills on each side of their body.
",False
"Rays and Skates are types of sharks.
",True
"Sharks have poor vision.
",False
"More shark attacks occur during the day than at night.
",True
"If attacked by a shark it is recommended that you punch the shark in the nose.
",False
"Sharks are immune to cancer.
",False
"The dogfish is actually a common species of small shark.
",True
"Despite the myth that Chihuahuas were descendants of the royal dog of the Aztecs, it is also believed that Spanish trade merchants brought Chihuahuas to which of these countries?
",Mexico
"What maximum height at the withers can Chihuahuas reach?
",15 inches (38 cm)
"Chihuahuas come in three colors: brindle, black, and camel.
",False
"Chihuahuas are the only dogs to be born with what?
",An incomplete skull
"What is the average lifespan of Chihuahuas?
",8- 18 years
"The Chihuahua Gidget is famous for what reason?
",It was a mascot for Taco Bell.
"The Chihuahua is the smallest dog breed in the world.
",True
"Chihuahuas are prone to hypoglycemia (low blood sugar).
",True
"What does the word â€œhippopotamusâ€ mean?
",River horse
"For their size hippos are pretty fast runners and are much faster than humans.
",True
"How long in years is the life span of an average wild hippopotamus?
",40-50
"Hippos secrete a red substance known as blood sweat that protects them from the sun.
",True
"Hippos are related to cetaceans (whales and porpoises).
",True
